Volume,Page,KF Scientific Name,KF Scientific Name,AH Scientific Name,AH Common Name,"Dimensions (hxw, cm)",Place Name-1,Year-1,Place Name-2,Year-2,Place Name-3,Year-3,Place Name-4,Year-4,Place Name-5,Year-5,Place Name-6 ,Year-6,Place Name-7,Year-7,Place Name-8,Year-8,,
1,39,Actaea alba Bigl ,,Actaea pachypoda Ell ,white baneberry,26.4 x 20.1,Brunswick,nd,East Livermore,nd,South Poland,nd,Rangeley,nd,,,,,,,,,,
1,40,(Fruit of) Actaea alba Bigelow ,,Actaea pachypoda Ell ,white baneberry,26.7 x 20.1,,,,,,,,,,,,,,,,,,
1,41,Berberis vulgaris L ,,Berberis vulgaris L ,common barberry,31.1 x 21.7,Wells,1877,South Poland,1895,,,,,,,,,,,,,,
1,42,Caulophyllum thalictroides Michx ,,Caulophyllum thalictroides Michx ,blue cohosh,38.0 x 27.5,Fayette,1875,Caribou,1880,Patten,1881,Strong,1882,Rangeley Lakes,1882,Skowhegan,1903,South Poland,1893,,,,
1,43,Brasenia peltata Pursh ,,Brasenia schreberi J F Gmel ,water-shield,38.0 x 27.9,Fayette Ridge,1875,Rangeley Village,1882,Wayne Pond,nd,South Poland,1893,Brunswick,1908,Wells,1898,,,,,,
1,44,Nymphaea odorata Ait ,,Nymphaea odorata Ait ,white water-lily,34.7 x 27.0,Brunswick,1870,South Poland,1882,Rangeley Region,1882,Wells,1898,York,1898,South Poland,1894,,,,,,
1,45,Nymphaea odorata Ait ,,Nymphaea odorata Ait ,white water-lily,38.5 x 27.5,South Poland,1895,York Beach,1898,West Baldwin,1900,,,,,,,,,,,,
1,46,Nuphar advena Ait ,,Nuphar advena (Ait) Ait f ,immigrant pond-lily,38.2 x 28.2 ,Brunswick,1870,Rangeley,1882,South Poland,1893,Gilead,1897,Wells,1898,Kents Hill,1892,,,,,,
1,47,Nuphar advena Ait ,,Nuphar advena (Ait) Ait f ,immigrant pond-lily,37.4 x 27.7,Gilead,1897,,,,,,,,,,,,,,,,
1,48,Nuphar advena Ait ,,Nuphar advena (Ait) Ait f ,immigrant pond-lily,31.8 x 21.1,Chemo Pond,nd,Bradley,1891,South Poland,1895,,,,,,,,,,,,
1,49,Nuphar advena Ait ,,Nuphar advena (Ait) Ait f ,immigrant pond-lily,38.0 x 27.9,West Farmington,1878,,,,,,,,,,,,,,,,
1,50,Nuphar kalmianum Ait ,,Nuphar microphylla (Pers) Fern ,small-leaved pond-lily,37.1 x 26.5,Wells,1879,Farmington,1879,,,,,,,,,,,,,,
1,51,Sarracenia purpurea L ,,Sarracenia purpurea L ,purple pitcherplant,38.9 x 24.8,Fayette,1871,Brunswick,nd,Rangeley Region,1882,South Poland,1893,Wells,1898,Rangeley Region,1894,,,,,,
1,52,Sarracenia purpurea L ,,Sarracenia purpurea L ,purple pitcherplant,34.8 x 24.1,Fayette,1871,,,,,,,,,,,,,,,,
1,53,Aquilegia candensis L ,,Aquilegia canadensis L ,reDColumbine,38.1 x 25.3,Brunswick,1905,,,,,,,,,,,,,,,,
1,55,Sanguinaria candensis L ,,Sanguinaria canadensis L ,blood-root,31.6 x 24.9,Topsham,1870,Wells,1871,Patten,1881,Strong,1882,Shapleigh,nd,Fayette,1875,Skowhegan,1903,,,,
1,56,Chelidonium majus L ,,Chelidonium majus L ,greater celandine,37.3 x 27.0,Brunswick,1870,South Poland,1893,Wells,1898,East Livermore,1894,,,,,,,,,,
1,57,Adlumia cirrhosa Raf ,,Adlumia fungosa (Ait) Greene ex B S P,Allegheny-vine,34.2 x 26.0 ,Brunswick,1878,,,,,,,,,,,,,,,,
1,58,Dicentra cucullaria DC ,,Dicentra cucullaria (L) Bernh ,Dutchman's-breeches,37.7 x 27.2,Patten,1881,Strong,1882,,,,,,,,,,,,,,
1,59,Corydalis glauca Pursh ,,Capnoides sempervirens (L) Borkh ,pink-corydalis,37.4 x 28.1,Orono,1881,Strong,1882,South Poland,1893,Gilead,1897,Wells,1898,Shapleigh,1901,Brunswick,1870,,,,
1,60,Dentaria diphylla L ,,Cardamine diphylla (Michx) Wood,two-leaved toothwort,38.8 x 28.0,Gilead,1887,,,,,,,,,,,,,,,,
1,61,Dentaria diphylla L ,,Cardamine diphylla (Michx) Wood ,two-leaved toothwort,37.8 x 27.4,East Livermore,1879,Chesterville,1879,Strong,1882,Rangeley,1897,Gilead,1897,South Poland,1895,,,,,,
1,62,Cardamine rhomboidae DC ,,Cardamine douglassii Britt ,pink bitter-cress,25.8 x 19.7,Wells,1875,,,,,,,,,,,,,,,,
1,63,Cardamine bellidifolia L ,,Cardamine bellidifolia L ,alpine bitter-cress,39.0 x 28.1,Mt. Katahdin,1900,,,,,,,,,,,,,,,,
